url,MU_dots,MU_hypens,MU_at,MU_and,MU_percentage,MU_slash,MU_star,MU_comma,MU_semicolon,MU_dollar,MU_colon,MU_question,MU_space,MU_underscore,MU_equal,MU_hash,length,having_ip,redirection,https_domain,pish_word,has_tinyURL,length_longest_word,type
en.wikipedia.org,1,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,27,0
national.ca,1,5,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28,0
motthegioi.vn,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,52,1
metroactive.com,10,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,22,0
twitter.com,2,15,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,824,1
correios.com.br,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47,1
olx.ro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29,0
msn.foxsports.com,1,8,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,19,1
hallmark.businessgreetings.com,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,1
musicstack.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
nudecelebsnow.com,9,0,0,0,9,5,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,21,0
worldwrestlinginsanity.com,1,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,28,0
slashdot.org,3,0,0,1,0,5,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,71,0
facebook.com,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1
sportsposterwarehouse.com,2,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,39,1
padmapper.com,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
mrskin.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0
lip-service.com,6,2,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,24,0
linkedin.com,2,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,14,0
cqgcr.ca,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,16,1
huffingtonpost.com,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,44,1
qz.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,76,1
select.nytimes.com,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,66,0
startrekcostumes.net,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,1
en.wikipedia.org,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0
music.carowinds.com,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1
newjersey.craigslist.org,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0
familypedia.wikia.com,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,64,1
mylust.com,2,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,55,1
acronymfinder.com,2,0,0,2,0,4,0,0,0,0,1,1,0,1,3,0,1,0,0,1,0,0,96,0
youtube.com,1,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,0
myspace.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0
movies.msn.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,0
idlebrain.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0
vh1.com,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29,1
archiver.rootsweb.ancestry.com,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32,1
perezhilton.com,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1
fsnaindia.com,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1
actionjaxon666.wordpress.com,3,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,38,0
en.wikipedia.org,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1
alaskajewelry.com,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,75,0
greenparty.ca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
mic.com,1,0,0,0,21,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,85,0
randomhouse.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37,0
argentinawarez.com,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,50,1
192.com,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,1
users6.nofeehost.com,1,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,22,0
facebook.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
scottss.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0
manta.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0
forum.exscn.net,10,0,0,0,2,4,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,28,1
superpages.com,4,7,0,6,7,4,0,0,0,0,1,1,0,2,7,0,1,0,0,1,0,0,46,0
maxlapointe.com,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0
ca.ratemyteachers.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0
cardomain.com,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1
apps.facebook.com,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,19,1
cbssports.com,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,1
home.comcast.net,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,0
margaritawill.com,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,0
pipl.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
newyorker.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,36,0
youtube.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0
law.cornell.edu,3,0,0,0,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,17,1
pitchfork.com,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,18,0
skyrock.com,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,83,1
hollywood.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
facebook.com,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,37,0
hot-people.info,1,0,0,0,30,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,58,1
onlineradio7.com,4,0,0,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,18,0
artistswithaids.org,1,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,21,1
mylife.com,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0
mmagearguide.com,1,0,0,0,0,4,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,32,1
worldtraveltours.org,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,54,1
iptv.org,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1
elliscountydivorcelawyer.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,44,0
grantland.com,10,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,78,0
fanpix.net,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0
chacha.com,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40,1
marcospecialties.com,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,146,1
hdlns.com,2,0,0,3,0,1,0,0,3,0,0,1,0,1,4,0,1,0,0,1,0,0,88,1
familytreemaker.genealogy.com,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31,1
therainmakersmessageboard.yuku.com,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,1
tumblr.com,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1
ussoccer.com,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,106,1
filmannex.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,31,0
allaboutjazz.com,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1
skiracing.com,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1
ertx.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,17,1
classicbikepictures.co.uk,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,55,1
thenextweb.com,1,10,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,43,1
mtlasm.blogspot.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21,0
medicinenet.com,3,0,0,3,0,5,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,1,17,1
music.yahoo.com,2,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0
espn.go.com,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,23,0
bleacherreport.com,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,79,0
famoushookups.com,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,95,0
genealogybuff.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19,0
microlabsltd.com,5,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,18,0
tripadvisor.com,2,0,0,3,0,4,0,0,0,0,0,1,0,0,4,0,1,0,0,1,1,0,85,1
flickr.com,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,12,1
subscene.com,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,22,1
thenextweb.com,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,73,0
tabs.ultimate-guitar.com,1,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27,0
sunjournal.com,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,1
ethicalsuperstore.com,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,165,1
lilliputreview.blogspot.com,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,34,0
basketball.wikia.com,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0
ech.cwru.edu,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,1
filmaffinity.com,2,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,59,0
chicopeemasoniclodge.org,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,1
filmcritic.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,31,0
geographic.org,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
paperbackswap.com,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32,0
baseball-almanac.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0
biographi.ca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0
deborahfrances-white.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0
spcmoray.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0
edu.gov.on.ca,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0
benoitglazer.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1
judgepedia.org,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1
sbnation.com,2,1,0,1,13,3,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,15,0
isearch.com,2,2,0,0,27,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,96,0
ratemyteachers.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0
carfloormatsforsale.com,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25,1
facebook.com,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,33,0
thefreelibrary.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,43,1
cngzhz.en.ec21.com,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0
atlasshrugs2000.typepad.com,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29,1
rotoworld.com,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1
facebook.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,0
tomdegan.blogspot.com,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,1
codecanyon.net,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,37,1
cswisdom.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0
ibabuzz.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,0
youtube.com,4,0,0,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,29,0
en.wikipedia.org,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,1
martindale.com,6,0,0,0,0,7,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0,0,21,0
frillr.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1
bankingblog.celent.com,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,24,1
en.wikipedia.org,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,45,1
narrativemagazine.com,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0
benmeadowcroft.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1
spokeo.com,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1
otomoto.pl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,48,0
youtube.com,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,1
cifstate.org,1,0,0,0,24,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,0
nchsband.com,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1
tvguide.com,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,0
arstechnica.com,2,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,117,1
blog.metmuseum.org,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,23,1
divacafe.net,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0
archive.org,2,4,0,5,2,3,0,0,0,0,1,1,0,1,6,0,1,0,0,1,0,0,37,0
buzzfil.net,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,91,1
manta.com,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,31,0
